SKU,nombre_limpio,Existencia,Ventas,Popular,variaciones,,,,,,,,
BEA15L117,Beaucarnea,17,48,no,bolsa 15 litros|bolsa 30 litros|maceta negra 14 pulgadas|bolsa 10 litros|maceta negra 3 pulgadas,,,,,,,,
BEL06P006,Belen,4,4462,si,maceta negra 6 pulgadas,,,,,,,,
BER01L125,Bergenia,14,674,si,bolsa 1 litros,,,,,,,,
BES02L125,Bandera Española,14,497,si,bolsa 2 litros,,,,,,,,
BIG08L105,Bignonia Morada,12,413,si,bolsa 8 litros,,,,,,,,
BMA06L009,Black Magic,2,128,no,bolsa 6 litros,,,,,,,,
BMI20L132,Bugambilia Minimorada,4,8,no,bolsa 20 litros|bolsa 10 litros,,,,,,,,
BOM80L129,Bombax Bco,2,0,no,bolsa 80 litros,,,,,,,,
BPA07L128,Bugambilia Paloma,25,2710,si,bolsa 7 litros,,,,,,,,
BPL06L006,Bambu Plumoso,114,1369,si,bolsa 6 litros|bolsa 30 litros,,,,,,,,
BRO06P121,Bromelia Pink,40,127,no,maceta negra 6 pulgadas,,,,,,,,
BRO08P109,Bromelia Aechmea,5,313,si,maceta negra 8 pulgadas,,,,,,,,
BRU04L010,Brunfelsia,43,86,no,bolsa 4 litros|bolsa 20 litros|bolsa 10 litros|bolsa 30 litros,,,,,,,,
BSV07L114,Bugambilia San Vicente,60,130,no,bolsa 7 litros,,,,,,,,
BUG12L200,Bugambilia,50,2847,si,bolsa 12 litros|bolsa 20 litros|bolsa 10 litros|bolsa 3 litros,,,,,,,,
BUG07L128,Bugambilia Surtida,66,2759,si,bolsa 7 litros,,,,,,,,
BUG08L001,Bugambilia Col,129,1628,si,bolsa 8 litros|bolsa 12 litros,,,,,,,,
BUG15L128,Bugambilia Envarada Sur,3,801,si,bolsa 15 litros,,,,,,,,
BUG50L128,Bugambilia Tronco,23,263,si,bolsa 50 litros|bolsa 60 litros,,,,,,,,
CAC02L010,Cacahuatillo,120,6784,si,bolsa 2 litros,,,,,,,,
CAC02L077,Cacao,49,454,si,bolsa 2 litros|bolsa 45 litros,,,,,,,,
CAF08L124,Cafe,13,2,no,bolsa 8 litros|bolsa 3 litros,,,,,,,,
CAL04L010,Caliandra,1,1239,si,bolsa 4 litros,,,,,,,,
CAL08P109,Calathea,127,1907,si,maceta negra 8 pulgadas,,,,,,,,
CAL30L105,Calistemo,2,212,si,bolsa 30 litros,,,,,,,,
CAL60L103,Calistemo Llorón,1,17,no,bolsa 60 litros,,,,,,,,
CAM40L170,Camelia,62,79,no,bolsa 40 litros,,,,,,,,
CAN02L077,Canela,53,472,si,bolsa 2 litros|bolsa 6 litros,,,,,,,,
CAN04L006,Cisus Antartica,20,174,no,bolsa 4 litros,,,,,,,,
CAR03L077,Cariza Enana,3,2991,si,bolsa 3 litros|bolsa 2 litros,,,,,,,,
CAR04L133,Cedro Arizona,20,20,no,bolsa 4 litros,,,,,,,,
CBL03L169,Cedro Blanco,35,76,no,bolsa 3 litros,,,,,,,,
CBR08L129,Cerezo Brasileño,83,96,no,bolsa 8 litros|bolsa 60 litros|bolsa 6 litros|bolsa 30 litros,,,,,,,,
CCG08P006,Croto Cola De Gallo,200,8432,si,maceta negra 8 pulgadas|bolsa 6 litros|bolsa 2 litros,,,,,,,,
CCH03L006,Cisus Charly,109,5664,si,bolsa 3 litros|maceta negra 10 pulgadas,,,,,,,,
CED01L125,Cedron,7,512,si,bolsa 1 litros,,,,,,,,
CEI20L129,Ceiba,4,28,no,bolsa 20 litros|bolsa 12 litros|bolsa 4 litros,,,,,,,,
CEL01L125,Celosia,1,1187,si,bolsa 1 litros,,,,,,,,
CEN15L006,Clavo Enano,30,659,si,bolsa 15 litros|bolsa 3 litros|bolsa 6 litros|bolsa 10 litros|bolsa 8 litros,,,,,,,,
CER12L077,Cerezo Lapins,13,47,no,bolsa 12 litros,,,,,,,,
CFR04L112,Cariza De Fruta,163,17,no,bolsa 4 litros,,,,,,,,
CGA03L003,Croto Gallo,76,1518,si,bolsa 3 litros,,,,,,,,
CHI03L125,Chile,2,498,si,bolsa 3 litros|bolsa 1 litros,,,,,,,,
CHI05P109,Corazon En Un Hilo,10,0,no,maceta negra 5 pulgadas,,,,,,,,
CHI08L115,Chicozapote,9,28,no,bolsa 8 litros|bolsa 45 litros,,,,,,,,
CIN04L010,Clavel De La India,22,370,si,bolsa 4 litros|bolsa 18 litros,,,,,,,,
CIN06P121,Canto De La India,50,827,si,maceta negra 6 pulgadas|maceta negra 7 pulgadas,,,,,,,,
CIT30L006,Cipres Italiano,10,421,si,bolsa 30 litros|bolsa 2 litros|bolsa 60 litros|bolsa 45 litros|bolsa 4 litros,,,,,,,,
CJA02L127,Criptomeria Japonica,64,1482,si,bolsa 2 litros|bolsa 8 litros,,,,,,,,
CLE04L133,Cipres Leyland,2,293,si,bolsa 4 litros,,,,,,,,
